# k_step gamma S_color
18 2.370000e-02 4.100000e-03
17 2.680000e-02 1.020000e-02
16 2.880000e-02 5.100000e-03
15 3.240000e-02 1.090000e-02
1000 4.000000e-04 1.069000e-01
100 3.800000e-03 1.609000e-01
65 6.000000e-03 1.340000e-02
50 7.500000e-03 9.260000e-02
40 9.100000e-03 1.408000e-01
30 1.440000e-02 1.123000e-01
26 1.850000e-02 4.070000e-02
23 1.680000e-02 4.000000e-03
20 2.320000e-02 4.600000e-03
18 2.630000e-02 4.600000e-03
17 2.520000e-02 1.400000e-03
16 2.630000e-02 1.700000e-03
15 2.780000e-02 6.100000e-03
1000 2.000000e-04 1.950000e-01
100 4.100000e-03 3.870000e-02
65 5.700000e-03 1.548000e-01
50 1.010000e-02 3.510000e-02
40 1.080000e-02 2.400000e-03
30 1.500000e-02 1.690000e-02
26 1.620000e-02 3.760000e-02
23 1.990000e-02 3.360000e-02
20 2.220000e-02 3.570000e-02
18 2.490000e-02 3.400000e-03
17 2.490000e-02 1.110000e-02
16 2.680000e-02 6.900000e-03
15 3.090000e-02 4.300000e-03
1000 1.000000e-04 2.076000e-01
100 3.300000e-03 1.288000e-01
65 6.200000e-03 2.100000e-02
50 6.200000e-03 1.494000e-01
40 1.090000e-02 6.800000e-03
30 1.470000e-02 1.260000e-02
26 1.630000e-02 8.970000e-02
23 2.000000e-02 4.290000e-02
20 2.080000e-02 7.700000e-03
18 2.300000e-02 1.010000e-02
17 2.640000e-02 1.300000e-03
16 2.830000e-02 1.500000e-03
15 2.930000e-02 3.400000e-03
1000 4.000000e-04 1.854000e-01
100 3.800000e-03 1.290000e-01
65 5.500000e-03 1.069000e-01
50 7.800000e-03 1.043000e-01
40 1.080000e-02 2.020000e-02
30 1.420000e-02 3.390000e-02
26 1.680000e-02 8.200000e-03
23 2.020000e-02 3.070000e-02
20 2.100000e-02 3.100000e-03
18 2.350000e-02 1.540000e-02
17 2.540000e-02 8.400000e-03
16 3.000000e-02 7.300000e-03
15 3.140000e-02 5.600000e-03
1000 3.000000e-04 1.416000e-01
100 3.600000e-03 3.370000e-02
65 5.600000e-03 1.129000e-01
50 8.500000e-03 1.210000e-01
40 9.700000e-03 9.570000e-02
30 1.260000e-02 8.420000e-02
26 1.640000e-02 9.100000e-03
23 1.940000e-02 2.240000e-02
20 2.220000e-02 1.800000e-03
18 2.400000e-02 2.610000e-02
17 2.820000e-02 6.100000e-03
16 2.930000e-02 2.200000e-03
15 3.280000e-02 2.500000e-03
1000 0.000000e+00 1.969000e-01
100 4.400000e-03 5.790000e-02
65 6.700000e-03 9.000000e-03
50 9.100000e-03 9.610000e-02
40 1.080000e-02 8.700000e-02
30 1.420000e-02 3.070000e-02
26 1.580000e-02 7.800000e-03
23 1.870000e-02 2.200000e-03
20 2.180000e-02 2.620000e-02
18 2.450000e-02 4.400000e-03
17 2.600000e-02 3.100000e-03
16 2.860000e-02 3.600000e-03
15 3.190000e-02 1.830000e-02
1000 1.000000e-04 2.371000e-01
100 2.900000e-03 1.448000e-01
65 6.100000e-03 4.400000e-02
