# k_step gamma S_color
15 1.659402e-02 -2.522030e-16
1000 6.765023e-05 1.174403e-01
100 1.357724e-03 1.061634e-01
65 2.385318e-03 1.022068e-01
50 3.364946e-03 8.610754e-02
40 4.512072e-03 8.087633e-02
30 6.594110e-03 6.653195e-02
26 7.968958e-03 5.322975e-02
23 9.376545e-03 3.918931e-02
20 1.129275e-02 1.143561e-02
18 1.299754e-02 -4.208942e-14
17 1.403005e-02 1.570122e-15
16 1.521706e-02 -5.565090e-16
15 1.659402e-02 -2.613684e-16
1000 6.765023e-05 1.131118e-01
100 1.357724e-03 1.032797e-01
65 2.385318e-03 9.746334e-02
50 3.364946e-03 9.109911e-02
40 4.512072e-03 7.489370e-02
30 6.594110e-03 6.470640e-02
26 7.968958e-03 5.354933e-02
23 9.376545e-03 3.668970e-02
20 1.129275e-02 1.054701e-02
18 1.299754e-02 -3.946135e-14
17 1.403005e-02 1.491640e-15
16 1.521706e-02 -5.665699e-16
15 1.659402e-02 -2.455765e-16
1000 6.765023e-05 1.176616e-01
100 1.357724e-03 9.950115e-02
65 2.385318e-03 9.684809e-02
50 3.364946e-03 9.232737e-02
40 4.512072e-03 8.063451e-02
30 6.594110e-03 6.806066e-02
26 7.968958e-03 5.069376e-02
23 9.376545e-03 3.921006e-02
20 1.129275e-02 1.133060e-02
18 1.299754e-02 -4.049260e-14
17 1.403005e-02 1.513526e-15
16 1.521706e-02 -5.652340e-16
15 1.659402e-02 -2.555988e-16
1000 6.765023e-05 1.206955e-01
100 1.357724e-03 1.035094e-01
65 2.385318e-03 1.018425e-01
50 3.364946e-03 8.726703e-02
40 4.512072e-03 7.938309e-02
30 6.594110e-03 6.746198e-02
26 7.968958e-03 5.152967e-02
23 9.376545e-03 3.735772e-02
20 1.129275e-02 1.121470e-02
18 1.299754e-02 -3.960066e-14
17 1.403005e-02 1.577216e-15
16 1.521706e-02 -5.638866e-16
15 1.659402e-02 -2.457511e-16
1000 6.765023e-05 1.128605e-01
100 1.357724e-03 1.015550e-01
65 2.385318e-03 9.766152e-02
50 3.364946e-03 8.820350e-02
40 4.512072e-03 8.196329e-02
30 6.594110e-03 6.605934e-02
26 7.968958e-03 5.122182e-02
23 9.376545e-03 3.732270e-02
20 1.129275e-02 1.122532e-02
18 1.299754e-02 -4.222139e-14
17 1.403005e-02 1.528479e-15
16 1.521706e-02 -5.339681e-16
15 1.659402e-02 -2.491563e-16
1000 6.765023e-05 1.312021e-01
100 1.357724e-03 1.058805e-01
65 2.385318e-03 9.895887e-02
50 3.364946e-03 9.169428e-02
40 4.512072e-03 8.593257e-02
30 6.594110e-03 6.279551e-02
26 7.968958e-03 5.253188e-02
23 9.376545e-03 3.946797e-02
20 1.129275e-02 1.152043e-02
18 1.299754e-02 -4.348711e-14
17 1.403005e-02 1.458463e-15
16 1.521706e-02 -6.124419e-16
15 1.659402e-02 -2.477336e-16
1000 6.765023e-05 1.232029e-01
100 1.357724e-03 9.826126e-02
65 2.385318e-03 9.673084e-02
50 3.364946e-03 8.444068e-02
40 4.512072e-03 7.911517e-02
30 6.594110e-03 6.887965e-02
26 7.968958e-03 5.396546e-02
23 9.376545e-03 3.657464e-02
20 1.129275e-02 1.107996e-02
18 1.299754e-02 -4.342077e-14
17 1.403005e-02 1.519051e-15
16 1.521706e-02 -5.848609e-16
15 1.659402e-02 -2.428508e-16
1000 6.765023e-05 1.308951e-01
100 1.357724e-03 1.046878e-01
65 2.385318e-03 9.489561e-02
50 3.364946e-03 8.993774e-02
40 4.512072e-03 8.207915e-02
30 6.594110e-03 7.116612e-02
26 7.968958e-03 5.230201e-02
23 9.376545e-03 3.748775e-02
20 1.129275e-02 1.112832e-02
