# k_av S_color
1.650000e+00 2.915751e-01
1.700000e+00 2.869691e-01
1.750000e+00 3.459725e-01
1.800000e+00 3.948429e-01
1.850000e+00 3.892161e-01
1.900000e+00 4.206324e-01
1.950000e+00 4.538206e-01
2.000000e+00 4.673786e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.080850e-04
1.100000e+00 4.050748e-03
1.150000e+00 2.392391e-02
1.200000e+00 3.877024e-02
1.250000e+00 7.428013e-02
1.300000e+00 1.057391e-01
1.350000e+00 1.215447e-01
1.400000e+00 1.517760e-01
1.450000e+00 1.826072e-01
1.500000e+00 2.127274e-01
1.550000e+00 2.354130e-01
1.600000e+00 2.470611e-01
1.650000e+00 2.817812e-01
1.700000e+00 3.251487e-01
1.750000e+00 3.383659e-01
1.800000e+00 3.763023e-01
1.850000e+00 3.737930e-01
1.900000e+00 4.279918e-01
1.950000e+00 4.224711e-01
2.000000e+00 4.769779e-01
1.000000e+00 0.000000e+00
1.050000e+00 2.131943e-04
1.100000e+00 8.427786e-03
1.150000e+00 1.885911e-02
1.200000e+00 4.689217e-02
1.250000e+00 5.654712e-02
1.300000e+00 9.631957e-02
1.350000e+00 9.451048e-02
1.400000e+00 1.667216e-01
1.450000e+00 1.845573e-01
1.500000e+00 2.083137e-01
1.550000e+00 2.191987e-01
1.600000e+00 2.418298e-01
1.650000e+00 3.040318e-01
1.700000e+00 3.073392e-01
1.750000e+00 3.525102e-01
1.800000e+00 3.574345e-01
1.850000e+00 4.048710e-01
1.900000e+00 4.077355e-01
1.950000e+00 4.573899e-01
2.000000e+00 4.692687e-01
1.000000e+00 0.000000e+00
1.050000e+00 8.654479e-05
1.100000e+00 4.278036e-03
1.150000e+00 2.075517e-02
1.200000e+00 3.602138e-02
1.250000e+00 6.053822e-02
1.300000e+00 9.748600e-02
1.350000e+00 1.120972e-01
1.400000e+00 1.551353e-01
1.450000e+00 1.675276e-01
1.500000e+00 2.184488e-01
1.550000e+00 2.217932e-01
1.600000e+00 2.679218e-01
1.650000e+00 2.966015e-01
1.700000e+00 3.223174e-01
1.750000e+00 3.222922e-01
1.800000e+00 3.540190e-01
1.850000e+00 3.894912e-01
1.900000e+00 4.260296e-01
1.950000e+00 4.451000e-01
2.000000e+00 4.562306e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.161066e-04
1.100000e+00 4.486328e-03
1.150000e+00 1.196628e-02
1.200000e+00 3.999401e-02
1.250000e+00 6.638251e-02
1.300000e+00 7.992303e-02
1.350000e+00 1.168697e-01
1.400000e+00 1.450308e-01
1.450000e+00 1.686272e-01
1.500000e+00 2.059480e-01
1.550000e+00 2.013259e-01
1.600000e+00 2.624613e-01
1.650000e+00 2.992777e-01
1.700000e+00 3.294177e-01
1.750000e+00 3.396165e-01
1.800000e+00 3.645927e-01
1.850000e+00 4.014193e-01
1.900000e+00 4.457003e-01
1.950000e+00 4.254489e-01
2.000000e+00 4.588209e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.047822e-04
1.100000e+00 5.497424e-03
1.150000e+00 2.277565e-02
1.200000e+00 4.237664e-02
1.250000e+00 6.175586e-02
1.300000e+00 1.017437e-01
1.350000e+00 1.091577e-01
1.400000e+00 1.519628e-01
1.450000e+00 1.877093e-01
1.500000e+00 1.990212e-01
1.550000e+00 2.407212e-01
1.600000e+00 2.556124e-01
1.650000e+00 2.968079e-01
1.700000e+00 3.089005e-01
1.750000e+00 3.407743e-01
1.800000e+00 3.717460e-01
1.850000e+00 4.035706e-01
1.900000e+00 4.243246e-01
1.950000e+00 4.252224e-01
2.000000e+00 4.795966e-01
1.000000e+00 0.000000e+00
1.050000e+00 7.898588e-05
1.100000e+00 3.502607e-03
1.150000e+00 2.140709e-02
1.200000e+00 4.322937e-02
1.250000e+00 5.146826e-02
1.300000e+00 8.725459e-02
1.350000e+00 1.368308e-01
1.400000e+00 1.370556e-01
1.450000e+00 1.825500e-01
1.500000e+00 1.911413e-01
1.550000e+00 2.302499e-01
1.600000e+00 2.658672e-01
1.650000e+00 2.963294e-01
1.700000e+00 3.194648e-01
1.750000e+00 3.386267e-01
1.800000e+00 3.667560e-01
1.850000e+00 3.807754e-01
1.900000e+00 4.156172e-01
1.950000e+00 4.342642e-01
2.000000e+00 4.627522e-01
1.000000e+00 0.000000e+00
1.050000e+00 4.730424e-05
1.100000e+00 3.828783e-03
1.150000e+00 2.406634e-02
1.200000e+00 3.652232e-02
1.250000e+00 6.758971e-02
1.300000e+00 8.288229e-02
1.350000e+00 1.217775e-01
1.400000e+00 1.449592e-01
1.450000e+00 1.736175e-01
1.500000e+00 1.997774e-01
1.550000e+00 2.447254e-01
1.600000e+00 2.600897e-01
1.650000e+00 2.844020e-01
1.700000e+00 3.128921e-01
1.750000e+00 3.746373e-01
1.800000e+00 3.667777e-01
1.850000e+00 3.874732e-01
1.900000e+00 4.244096e-01
1.950000e+00 4.264889e-01
2.000000e+00 4.383621e-01
1.000000e+00 0.000000e+00
1.050000e+00 5.935568e-05
1.100000e+00 7.477602e-03
1.150000e+00 2.674420e-02
1.200000e+00 4.733231e-02
1.250000e+00 7.693955e-02
1.300000e+00 7.692826e-02
1.350000e+00 1.169539e-01
1.400000e+00 1.449740e-01
1.450000e+00 1.910868e-01
1.500000e+00 1.972566e-01
1.550000e+00 2.340803e-01
1.600000e+00 2.754509e-01
1.650000e+00 2.808467e-01
1.700000e+00 2.854966e-01
1.750000e+00 3.430691e-01
1.800000e+00 3.884230e-01
1.850000e+00 4.132018e-01
1.900000e+00 4.119817e-01
1.950000e+00 4.731815e-01
2.000000e+00 4.825542e-01
1.000000e+00 0.000000e+00
1.050000e+00 4.336378e-05
1.100000e+00 4.472581e-03
1.150000e+00 2.452923e-02
1.200000e+00 4.533887e-02
1.250000e+00 6.084415e-02
1.300000e+00 1.004446e-01
1.350000e+00 1.279009e-01
1.400000e+00 1.334842e-01
1.450000e+00 1.737762e-01
1.500000e+00 2.182804e-01
1.550000e+00 2.412310e-01
1.600000e+00 2.771754e-01
1.650000e+00 2.869373e-01
1.700000e+00 3.353821e-01
1.750000e+00 3.384138e-01
1.800000e+00 3.473075e-01
1.850000e+00 3.559441e-01
1.900000e+00 4.216991e-01
1.950000e+00 4.172175e-01
2.000000e+00 4.673439e-01
1.000000e+00 0.000000e+00
1.050000e+00 4.017235e-05
1.100000e+00 4.436060e-03
1.150000e+00 1.751946e-02
1.200000e+00 3.845397e-02
1.250000e+00 7.414528e-02
1.300000e+00 8.268050e-02
1.350000e+00 1.124211e-01
1.400000e+00 1.495513e-01
1.450000e+00 1.800902e-01
1.500000e+00 2.095144e-01
1.550000e+00 2.528998e-01
1.600000e+00 2.667541e-01
1.650000e+00 2.980281e-01
1.700000e+00 3.234511e-01
1.750000e+00 3.491613e-01
1.800000e+00 3.691407e-01
1.850000e+00 4.049936e-01
1.900000e+00 4.166895e-01
1.950000e+00 4.414304e-01
2.000000e+00 4.549594e-01
1.000000e+00 0.000000e+00
